Parameter;Lower_Bound;Lower_Bound_low;Lower_Bound_upp;Upper_Bound;Upper_Bound_low;Upper_Bound_upp;Lower_Bound_relative;Upper_Bound_relative
c_ae;-10214.0346509732;-10383.6264751646;-10044.4428267818;-10035.7494051404;-10235.5602743897;-9835.93853589101;-0.005384932236609894;0.012163989998867341
c_pd;-10257.9217767485;-10443.4244594521;-10072.4190940449;-10009.9071738854;-10195.7787245643;-9824.03562320644;-0.009704817226373006;0.0147076851014363
c_pfs;-9710.29510401864;-9892.08088237022;-9528.50932566707;-10563.4085518908;-10747.0827472667;-10379.7343565149;0.04419901451762954;-0.039774403949025934
c_thx;-9452.91939842226;-9637.337282956;-9268.50151388851;-10807.2779832153;-10989.9872517483;-10624.5687146824;0.06953294622753527;-0.06377888993962334
p_ae;-9751.86621294021;-9906.4652469103;-9597.26717897011;-10691.8987610145;-10899.4143886849;-10484.3831333441;0.040107099035227065;-0.05242191539844033
p_pdd;-14796.8349348564;-14970.2161361165;-14623.4537335962;-4891.55066036235;-5081.72538416949;-4701.37593655522;-0.4564778167146182;0.5185162869276378
p_pfsd;-4211.67885648704;-4378.02944424985;-4045.32826872423;-17651.9486901982;-17852.8070831689;-17451.0902972275;0.5854372335296383;-0.7375115558324532
p_pfspd;-16672.8643112155;-16843.2059956505;-16502.5226267804;-2338.97361214786;-2534.7072292244;-2143.23999507131;-0.6411386027679503;0.7697708195724169
rr;-582.340723028265;-753.879182558572;-410.802263497958;-21494.7219926554;-21691.5620495353;-21297.8819357754;0.9426792048033041;-1.115762316507469
u_ae;-9767.62890824509;-9929.073500639;-9606.18431585118;-10616.5821995811;-10816.8180269595;-10416.3463722026;0.03855554992730883;-0.04500837720314962
u_pd;-4986.02734643403;-5170.67619024516;-4801.3785026229;-15071.6710998265;-15250.3355727498;-14893.0066269032;0.509216784833716;-0.48353041135882235
u_pfs;-17389.7629676866;-17586.6247774954;-17192.9011578778;-4204.46712231131;-4372.36622282211;-4036.5680218005;-0.7117041659157158;0.5861470968817157
